 id | tokenid |   operation   |        price         
----+---------+---------------+----------------------
  1 |       2 | OfferNew      | 1.742500000000000000
  2 |       7 | OfferNew      | 2.050000000000000000
  3 |      13 | OfferNew      | 2.050000000000000000
  4 |      12 | OfferNew      | 1.537500000000000000
  5 |       8 | OfferNew      | 2.050000000000000000
  6 |      33 | OfferNew      | 3.413250000000000000
  7 |      32 | OfferNew      | 3.413250000000000000
  8 |       9 | OfferNew      | 2.050000000000000000
  9 |      23 | OfferNew      | 0.102500000000000000
 10 |      24 | OfferNew      | 0.102500000000000000
 11 |      25 | OfferNew      | 0.102500000000000000
 12 |      26 | OfferNew      | 0.102500000000000000
 13 |      27 | OfferNew      | 0.102500000000000000
 14 |      34 | OfferNew      | 0.512500000000000000
 15 |      35 | OfferNew      | 1.025000000000000000
 16 |      22 | OfferNew      | 0.366950000000000000
 17 |      16 | OfferNew      | 0.820000000000000000
 18 |      17 | OfferNew      | 3.382500000000000000
 19 |      18 | OfferNew      | 2.255000000000000000
 20 |      36 | OfferNew      | 1.537500000000000000
 21 |      37 | OfferNew      | 1.025000000000000000
 22 |      39 | OfferNew      | 1.025000000000000000
 23 |      40 | OfferNew      | 1.025000000000000000
 24 |      46 | OfferNew      | 0.820000000000000000
 25 |      48 | OfferNew      | 1.025000000000000000
 26 |      49 | OfferNew      | 1.537500000000000000
 27 |      15 | OfferNew      | 1.025000000000000000
 28 |      50 | OfferNew      | 3.587500000000000000
 29 |      43 | OfferNew      | 1.127500000000000000
 30 |      58 | OfferNew      | 1.537500000000000000
 31 |      38 | OfferNew      | 1.332500000000000000
 32 |      42 | OfferNew      | 1.127500000000000000
 33 |      38 | OfferAccepted | 1.332500000000000000
 34 |      62 | OfferNew      | 0.205000000000000000
 35 |      63 | OfferNew      | 0.512500000000000000
 36 |      64 | OfferNew      | 0.512500000000000000
 37 |      70 | OfferNew      | 1.537500000000000000
 38 |      72 | OfferNew      | 0.205000000000000000
 39 |      73 | OfferNew      | 0.205000000000000000
 40 |      74 | OfferNew      | 0.205000000000000000
 41 |      75 | OfferNew      | 0.205000000000000000
 42 |      76 | OfferNew      | 0.205000000000000000
 43 |      77 | OfferNew      | 0.205000000000000000
 44 |      78 | OfferNew      | 0.205000000000000000
 45 |      79 | OfferNew      | 0.205000000000000000
 46 |      80 | OfferNew      | 1.845000000000000000
 47 |      71 | OfferNew      | 1.230000000000000000
 48 |      81 | OfferNew      | 2.050000000000000000
 49 |      38 | ResaleOffer   | 1.537500000000000000
 50 |      82 | OfferNew      | 0.307500000000000000
 51 |      45 | OfferNew      | 0.615000000000000000
 52 |      56 | OfferNew      | 1.025000000000000000
 53 |      57 | OfferNew      | 0.615000000000000000
 54 |      10 | OfferNew      | 1.025000000000000000
 55 |      83 | OfferNew      | 1.025000000000000000
 56 |      84 | OfferNew      | 0.307500000000000000
 57 |      86 | OfferNew      | 2.050000000000000000
 58 |      88 | OfferNew      | 2.050000000000000000
(58 rows)
