   0, 13300020001
   1, 13300020002
   2, 13300020003
   3, 13300010001
   4, 13300020004
   5, 13300020005
   6, 13300010002
   7, 13300010003
   8, 13300010004
   9, 13300010005
  10, 13300010006
  11, 13300020006
  12, 13300020007
  13, 13300020008
  14, 13300010007
  15, 13300020009
  16, 13300020010
  17, 13300020011
  18, 13300020012
  19, 13300010008
  20, 13300010009
  21, 13300010010
  22, 13300020013
  23, 13300020014
  24, 13300020015
  25, 13300020016
  26, 13300020017
  27, 13300020018
  28, 13300020019
  29, 13300020020
  30, 13300020021
  31, 13300020022
  32, 13300020023
  33, 13300020024
  34, 13300020025
  35, 13300020026
  36, 13300020027
  37, 13300020028
  38, 13300010011
  39, 13300010012
  40, 13300020029
  41, 13300020030
  42, 13300020031
  43, 13300020032
  44, 13300020033
  45, 13300020034
  46, 13300020035
  47, 13300020036
  48, 13300020037
  49, 13300020038
  50, 13300020039
  51, 13300020040
  52, 13300010013
  53, 13300010014
  54, 13300020041
  55, 13300010015
  56, 13300020042
  57, 13300010016
  58, 13300020043
  59, 13300020044
  60, 13300020045
  61, 13300020046
  62, 13300020047
  63, 13300020048
  64, 13300010017
  65, 13300020049
  66, 13300020050
  67, 13300010018
  68, 13300020051
  69, 13300020052
  70, 13300020053
  71, 13300020054
  72, 13300020055
  73, 13300010019
  74, 13300020056
  75, 13300020057
  76, 13300020058
  77, 13300020059
  78, 13300020060
  79, 13300020061
  80, 13300010020
  81, 13300010021
  82, 13300020062
  83, 13300020063
  84, 13300020064
  85, 13300020065
  86, 13300020066
  87, 13300020067
  88, 13300020068
  89, 13300010022
  90, 13300010023
  91, 13300020069
  92, 13300020070
  93, 13300010024
  94, 13300020071
  95, 13300020072
  96, 13300010025
  97, 13300010026
  98, 13300010027
  99, 13300010028
 100, 13300010029
 101, 13300010030
 102, 13300020073
 103, 13300010031
 104, 13300010032
 105, 13300010033
 106, 13300020074
 107, 13300020075
 108, 13300010034
 109, 13300020076
 110, 13300020077
 111, 13300020078
 112, 13300020079
 113, 13300020080
 114, 13300020081
 115, 13300020082
 116, 13300020083
 117, 13300010035
 118, 13300020084
 119, 13300020085
 120, 13300020086
 121, 13300010036
 122, 13300020087
 123, 13300020088
 124, 13300020089
 125, 13300010037
 126, 13300010038
 127, 13300010039
 128, 13300010040
 129, 13300010041
 130, 13300020090
 131, 13300020091
 132, 13300020092
 133, 13300020093
 134, 13300020094
 135, 13300010042
 136, 13300020095
 137, 13300010043
 138, 13300010044
 139, 13300020096
 140, 13300010045
 141, 13300010046
 142, 13300020097
 143, 13300010047
 144, 13300020098
 145, 13300010048
 146, 13300020099
 147, 13300010049
 148, 13300020100
 149, 13300010050
 150, 13300020101
 151, 13300020102
 152, 13300020103
 153, 13300010051
 154, 13300010052
 155, 13300010053
 156, 13300020104
 157, 13300020105
 158, 13300010054
 159, 13300010055
 160, 13300020106
 161, 13300020107
 162, 13300020108
 163, 13300020109
 164, 13300020110
 165, 13300020111
 166, 13300020112
 167, 13300020113
 168, 13300010056
 169, 13300020114
 170, 13300010057
 171, 13300020115
 172, 13300010058
 173, 13300010059
 174, 13300020116
 175, 13300020117
 176, 13300010060
 177, 13300020118
 178, 13300020119
 179, 13300020120
 180, 13300020121
 181, 13300020122
 182, 13300020123
 183, 13300020124
 184, 13300020125
 185, 13300010061
 186, 13300010062
 187, 13300020126
 188, 13300020127
 189, 13300020128
 190, 13300020129
 191, 13300020130
 192, 13300020131
 193, 13300020132
 194, 13300020133
 195, 13300020134
 196, 13300020135
 197, 13300020136
